arquivo,slug,camel,categoria,decisao,uso
Remove--Streamline-Ultimate.svg,cancel,cancel,ui,new,Cancelar / fechar (X)
Remove-Badge--Streamline-Ultimate.svg,remove-badge,removeBadge,generico,new,
Remove-Square--Streamline-Ultimate.svg,remove-square,removeSquare,generico,new,
Remove-Square-1--Streamline-Ultimate.svg,remove-square-1,removeSquare1,generico,new,
Reward-Claps-Hand-1--Streamline-Ultimate.svg,reward-claps-hand-1,rewardClapsHand1,generico,new,
Reward-Claps-Hand-3--Streamline-Ultimate.svg,reward-claps-hand-3,rewardClapsHand3,generico,new,
Reward-Stars-2--Streamline-Ultimate.svg,stars-2,stars2,generico,new,
Reward-Stars-3--Streamline-Ultimate.svg,stars-3,stars3,generico,new,
Reward-Stars-4--Streamline-Ultimate.svg,stars-4,stars4,generico,new,
Reward-Stars-5--Streamline-Ultimate.svg,stars-5,stars5,generico,new,
Road-Straight--Streamline-Ultimate.svg,road,road,viagem,new,Trecho de via
Road-Straight-1--Streamline-Ultimate.svg,road-alt,roadAlt,viagem,new,Trecho de via (variante)
Rotate--Streamline-Ultimate.svg,rotate,rotate,generico,new,
Satellite-1--Streamline-Ultimate.svg,satellite,satellite,rastreio,new,Satélite GPS
Satellite-Signal--Streamline-Ultimate.svg,satellite-signal,satelliteSignal,rastreio,new,Qualidade de sinal GPS
Scissors-2--Streamline-Ultimate.svg,scissors,scissors,generico,new,
Scooter-Sport--Streamline-Ultimate.svg,scooter,scooter,veiculo,new,Patinete/scooter
Scroll-Horizontal-1--Streamline-Ultimate.svg,scroll-horizontal,scrollHorizontal,generico,new,
Scroll-Vertical-1--Streamline-Ultimate.svg,scroll-vertical,scrollVertical,generico,new,
Sd-Card--Streamline-Ultimate.svg,sd-card,sdCard,conectividade,new,Armazenamento do dispositivo
Sea-Transport-Yacht--Streamline-Ultimate.svg,boat-yacht,boatYacht,veiculo,new,Iate
Search--Streamline-Ultimate.svg,search,search,upgrade,upgrade,substitui search
Search-Square--Streamline-Ultimate.svg,search-square,searchSquare,generico,new,
Send-Email--Streamline-Ultimate.svg,send-email,sendEmail,generico,new,
Send-Email-1--Streamline-Ultimate.svg,send-email-1,sendEmail1,generico,new,
Send-Email-2--Streamline-Ultimate.svg,send-email-2,sendEmail2,generico,new,
Server-2--Streamline-Ultimate.svg,server,server,generico,new,
Server-Check--Streamline-Ultimate.svg,server-check,serverCheck,generico,new,
